timestamp_utc,ready,http_code,rss_kib,cpu_percent,load_1m,mem_available_kib
2026-09-19T08:44:31Z,1,200,54316,3.2,0.16,1457496
2026-09-19T08:44:46Z,1,200,54332,3.2,0.12,1457280
2026-09-19T08:45:01Z,1,200,56284,3.2,0.09,1430648
2026-09-19T08:45:16Z,1,200,57656,3.3,0.14,1432420
2026-09-19T08:45:31Z,1,200,58260,3.3,0.18,1455272
2026-09-19T08:45:46Z,1,200,58988,3.3,0.22,1440160
2026-09-19T08:46:01Z,1,200,59396,3.3,0.31,1428084
2026-09-19T08:46:17Z,1,200,59764,3.3,0.24,1426416
2026-09-19T08:46:32Z,1,200,59936,3.3,0.19,1437552
2026-09-19T08:46:47Z,1,200,60480,3.3,0.14,1445880
2026-09-19T08:47:02Z,1,200,65928,3.3,0.11,1436524
2026-09-19T08:47:17Z,1,200,81100,3.4,0.16,1429864
2026-09-19T08:47:32Z,1,200,59656,3.4,0.20,1434464
2026-09-19T08:47:47Z,1,200,62544,3.4,0.45,1430188
2026-09-19T08:48:02Z,1,200,62648,3.4,0.50,1409380
2026-09-19T08:48:17Z,1,200,61512,3.4,0.46,1451284
2026-09-19T08:48:32Z,1,200,62360,3.4,0.70,1422736
2026-09-19T08:48:47Z,1,200,63040,3.5,0.62,1430124
2026-09-19T08:49:02Z,1,200,63992,3.5,0.56,1439704
2026-09-19T08:49:17Z,1,200,64224,3.5,0.43,1424132
2026-09-19T08:49:32Z,1,200,63956,3.5,0.41,1426960
2026-09-19T08:49:48Z,1,200,63976,3.5,0.62,1412636
2026-09-19T08:50:03Z,1,200,66020,3.6,0.56,1432748
2026-09-19T08:50:18Z,1,200,63884,3.6,0.51,1420328
2026-09-19T08:50:33Z,1,200,64844,3.6,0.40,1419088
2026-09-19T08:50:48Z,1,200,85824,3.6,0.31,1423024
2026-09-19T08:51:03Z,1,200,64260,3.6,0.58,1414480
2026-09-19T08:51:18Z,1,200,64612,3.7,0.53,1425352
2026-09-19T08:51:33Z,1,200,65472,3.7,0.57,1438868
2026-09-19T08:51:48Z,1,200,60768,3.7,0.72,1447540
2026-09-19T08:52:03Z,1,200,64416,3.7,0.64,1423452
2026-09-19T08:52:18Z,1,200,82236,3.7,0.57,1424404
2026-09-19T08:52:33Z,1,200,81132,3.8,0.59,1411768
2026-09-19T08:52:48Z,1,200,104656,3.8,0.75,1409800
2026-09-19T08:53:04Z,1,200,65176,3.8,1.03,1444268
2026-09-19T08:53:19Z,1,200,68312,3.8,1.10,1415376
2026-09-19T08:53:34Z,1,200,66492,3.9,1.07,1438708
2026-09-19T08:53:49Z,1,200,66760,3.9,1.05,1434268
2026-09-19T08:54:04Z,1,200,86340,3.9,0.88,1424004
2026-09-19T08:54:19Z,1,200,85944,3.9,0.76,1438404
2026-09-19T08:54:34Z,1,200,68640,4.0,0.67,1410128
2026-09-19T08:54:49Z,1,200,67704,4.0,0.52,1426704
2026-09-19T08:55:04Z,1,200,70204,4.0,0.40,1432376
2026-09-19T08:55:19Z,1,200,68988,4.0,0.31,1439440
2026-09-19T08:55:35Z,1,200,68644,4.0,0.60,1437872
2026-09-19T08:55:50Z,1,200,70272,4.1,0.70,1437148
2026-09-19T08:56:05Z,1,200,71644,4.1,0.54,1435124
2026-09-19T08:56:20Z,1,200,64444,4.1,0.49,1435052
2026-09-19T08:56:35Z,1,200,60336,4.1,0.38,1437844
2026-09-19T08:56:50Z,1,200,64868,4.1,0.30,1438124
2026-09-19T08:57:05Z,1,200,64460,4.1,0.55,1438192
2026-09-19T08:57:20Z,1,200,63244,4.1,0.43,1438192
2026-09-19T08:57:35Z,1,200,66216,4.1,0.47,1440920
2026-09-19T08:57:50Z,1,200,65996,4.2,0.60,1441288
2026-09-19T08:58:05Z,1,200,65284,4.2,0.87,1440996
2026-09-19T08:58:20Z,1,200,64900,4.2,0.68,1443412
2026-09-19T08:58:35Z,1,200,65068,4.2,0.53,1443564
2026-09-19T08:58:50Z,1,200,67528,4.2,0.75,1443536
2026-09-19T08:59:06Z,1,200,67040,4.2,0.74,1443164
2026-09-19T08:59:21Z,1,200,66740,4.2,0.74,1439948
2026-09-19T08:59:36Z,1,200,63176,4.2,1.05,1442512
2026-09-19T08:59:51Z,1,200,66452,4.3,0.82,1441224
2026-09-19T09:00:06Z,1,200,65872,4.3,0.71,1443540
2026-09-19T09:00:21Z,1,200,65720,4.3,1.42,1443440
2026-09-19T09:00:36Z,1,200,64680,4.3,1.31,1442104
2026-09-19T09:00:51Z,1,200,66588,4.3,1.10,1442012
2026-09-19T09:01:06Z,1,200,65004,4.3,1.09,1441312
2026-09-19T09:01:21Z,1,200,65908,4.3,1.00,1441864
2026-09-19T09:01:36Z,1,200,66608,4.3,0.92,1444312
2026-09-19T09:01:51Z,1,200,65368,4.3,0.71,1444188
2026-09-19T09:02:06Z,1,200,68428,4.4,0.64,1440824
2026-09-19T09:02:22Z,1,200,66320,4.4,0.97,1439548
2026-09-19T09:02:37Z,1,200,64636,4.4,1.16,1442972
2026-09-19T09:02:52Z,1,200,65676,4.4,1.30,1444760
2026-09-19T09:03:07Z,1,200,66772,4.4,1.09,1444628
2026-09-19T09:03:22Z,1,200,64392,4.4,1.07,1442632
2026-09-19T09:03:37Z,1,200,68228,4.4,1.16,1439556
2026-09-19T09:03:52Z,1,200,60656,4.4,0.97,1443080
2026-09-19T09:04:07Z,1,200,67036,4.5,0.76,1439920
2026-09-19T09:04:22Z,1,200,65948,4.5,0.90,1434520
2026-09-19T09:04:37Z,1,200,65432,4.5,0.94,1438856
2026-09-19T09:04:52Z,1,200,65048,4.5,1.43,1438840
2026-09-19T09:05:07Z,1,200,67276,4.5,1.27,1438816
2026-09-19T09:05:22Z,1,200,69276,4.5,1.29,1436816
2026-09-19T09:05:37Z,1,200,67064,4.5,1.16,1437468
2026-09-19T09:05:52Z,1,200,63324,4.5,0.90,1437736
2026-09-19T09:06:08Z,1,200,64844,4.5,1.07,1437648
2026-09-19T09:06:23Z,1,200,65760,4.6,1.66,1437904
2026-09-19T09:06:38Z,1,200,65948,4.6,1.53,1438328
2026-09-19T09:06:53Z,1,200,65236,4.6,1.35,1440468
2026-09-19T09:07:08Z,1,200,69488,4.6,1.21,1436744
2026-09-19T09:07:23Z,1,200,66352,4.6,1.37,1435656
2026-09-19T09:07:38Z,1,200,63120,4.6,1.14,1439040
2026-09-19T09:07:53Z,1,200,64768,4.6,1.26,1443376
2026-09-19T09:08:08Z,1,200,64164,4.6,1.22,1442876
2026-09-19T09:08:23Z,1,200,64540,4.6,0.95,1441392
2026-09-19T09:08:38Z,1,200,62304,4.7,0.82,1442780
2026-09-19T09:08:53Z,1,200,68008,4.7,0.72,1441388
2026-09-19T09:09:08Z,1,200,66204,4.7,0.71,1439808
2026-09-19T09:09:23Z,1,200,61164,4.7,0.55,1424036
2026-09-19T09:09:39Z,1,200,65380,4.7,0.78,1424732
2026-09-19T09:09:54Z,1,200,62828,4.7,0.61,1426136
2026-09-19T09:10:09Z,1,200,63304,4.7,0.99,1425244
2026-09-19T09:10:24Z,1,200,64576,4.7,0.77,1425156
2026-09-19T09:10:39Z,1,200,64368,4.7,0.60,1424332
2026-09-19T09:10:54Z,1,200,66016,4.8,0.79,1426600
